u_0_Vm,c_Nai,c_Nao,c_Ki,c_Ko,c_Pi,c_ATP,c_ADP,T,pH,v_ss
0,5,5,80,15,1,2,0.001,308,7.2,2.57594
0,10,5,80,15,1,2,0.001,308,7.2,9.08514
0,20,5,80,15,1,2,0.001,308,7.2,23.3676
0,25,5,80,15,1,2,0.001,308,7.2,29.6592
0,30,5,80,15,1,2,0.001,308,7.2,35.2495
0,35,5,80,15,1,2,0.001,308,7.2,40.1955
0,40,5,80,15,1,2,0.001,308,7.2,44.5764
0,50,5,80,15,1,2,0.001,308,7.2,51.9445
0,60,5,80,15,1,2,0.001,308,7.2,57.867
0,80,5,80,15,1,2,0.001,308,7.2,66.7481
